0424_182801,475.83
0424_182902,477.5
0424_183003,11.67
0424_183107,11.67
0424_183210,10.83
0424_183312,10.83
0424_183414,10.0
0424_183519,9.17
0424_183624,8.33
0424_183725,8.33
0424_183827,7.5
0424_183932,7.5
0424_184037,6.67
0424_184139,6.67
0424_184240,5.83
0424_184343,5.0
0424_184446,5.0
0424_184547,4.17
0424_184648,4.17
0424_184749,4.17
0424_184850,3.33
0424_184951,3.33
0424_185052,2.5
0424_185154,2.5
0424_185256,2.5
0424_185356,2.5
0424_185456,1.67
0424_185557,1.67
0424_185658,1.67
0424_185758,1.67
0424_185902,0.83
0424_190007,0.83
0424_190108,0.83
0424_190219,0.83
0424_190330,0.83
0424_190431,0.0
0424_190531,0.0
0424_190631,0.0
0424_190732,0.0
0424_190832,0.0
0424_190933,0.0
0424_191035,0.0
0424_191137,0.0
0424_191238,0.0
0424_191340,0.0
0424_191441,0.0
0424_191541,0.0
0424_191648,0.0
0424_191757,0.0
0424_191858,0.0
0424_191959,0.0
0424_192100,0.0
0424_192203,0.0
0424_192305,0.0
0424_192417,0.0
0424_192528,0.0
0424_192628,0.0
0424_192732,0.0
0424_192835,0.0
0424_192937,0.0
0424_193040,0.0
0424_193143,0.0
0424_193244,0.0
0424_193346,0.0
0424_193452,0.0
0424_193556,0.0
0424_193658,0.0
0424_193800,0.0
0424_193904,0.0
0424_194008,0.0
0424_194109,0.0
0424_194221,0.0
0424_194333,0.0
0424_194434,0.0
0424_194536,0.0
0424_194639,0.0
0424_194740,0.0
0424_194842,0.0
0424_194945,0.0
0424_195045,0.0
0424_195154,0.0
0424_195303,0.0
0424_195404,0.0
0424_195507,0.0
0424_195610,0.0
0424_195715,0.0
0424_195819,0.0
0424_195922,0.0
0424_200024,0.0
0424_200125,0.0
0424_200225,0.0
0424_200327,0.0
0424_200429,0.0
0424_200531,0.0
0424_200635,0.0
0424_200738,0.0
0424_200839,0.0
0424_200940,0.0
0424_201041,0.0
0424_201142,0.0
0424_201243,0.0
0424_201346,0.0
